"","Year","Month","Count"
"441",2010,"May",1083
"442",2010,"May",1021
"443",2010,"May",930
"444",2010,"May",960
"445",2010,"May",781
"446",2010,"June",922
"447",2010,"June",914
"448",2010,"June",870
"449",2010,"June",848
"451",2010,"July",742
"452",2010,"July",917
"453",2010,"July",1007
"454",2010,"July",892
"456",2010,"Aug",956
"457",2010,"Aug",898
"458",2010,"Aug",997
"459",2010,"Aug",993
"460",2010,"Aug",905
"461",2010,"Sept",912
"462",2010,"Sept",972
"463",2010,"Sept",936
"464",2010,"Sept",930
"466",2010,"Oct",931
"467",2010,"Oct",825
"468",2010,"Oct",890
"469",2010,"Oct",932
"470",2010,"Oct",947
"471",2010,"Nov",1065
"472",2010,"Nov",1008
"473",2010,"Nov",985
"474",2010,"Nov",924
"476",2010,"Dec",1052
"477",2010,"Dec",782
"478",2010,"Dec",987
"479",2010,"Dec",635
"481",2011,"Jan",933
"482",2011,"Jan",1055
"483",2011,"Jan",1074
"484",2011,"Jan",1034
"485",2011,"Jan",1010
"486",2011,"Feb",856
"487",2011,"Feb",993
"488",2011,"Feb",991
"489",2011,"Feb",1062
"491",2011,"Mar",881
"492",2011,"Mar",858
"493",2011,"Mar",995
"494",2011,"Mar",1005
"496",2011,"Apr",1020
"497",2011,"Apr",973
"498",2011,"Apr",995
"499",2011,"Apr",1612
"501",2011,"May",956
"502",2011,"May",1058
"503",2011,"May",928
"504",2011,"May",929
"505",2011,"May",838
"506",2011,"June",823
"507",2011,"June",889
"508",2011,"June",854
"509",2011,"June",965
"511",2011,"July",759
"512",2011,"July",930
"513",2011,"July",798
"514",2011,"July",884
"515",2011,"July",832
"516",2011,"Aug",847
"517",2011,"Aug",879
"518",2011,"Aug",867
"519",2011,"Aug",1024
"521",2011,"Sept",894
"522",2011,"Sept",1004
"523",2011,"Sept",928
"524",2011,"Sept",943
"526",2011,"Oct",870
"527",2011,"Oct",855
"528",2011,"Oct",946
"529",2011,"Oct",998
"530",2011,"Oct",997
"531",2011,"Nov",989
"532",2011,"Nov",1055
"533",2011,"Nov",1111
"534",2011,"Nov",863
"536",2011,"Dec",1157
"537",2011,"Dec",1081
"538",2011,"Dec",1098
"541",2012,"Jan",772
"542",2012,"Jan",1199
"543",2012,"Jan",1105
"544",2012,"Jan",1145
"545",2012,"Jan",1127
"546",2012,"Feb",1085
"547",2012,"Feb",1110
"548",2012,"Feb",1008
"549",2012,"Feb",1150
"551",2012,"Mar",992
"552",2012,"Mar",919
"553",2012,"Mar",1043
"554",2012,"Mar",995
"556",2012,"Apr",1040
"557",2012,"Apr",1755
"558",2012,"Apr",1049
"559",2012,"Apr",1116
"560",2012,"Apr",1085
"561",2012,"May",1071
"562",2012,"May",1186
"563",2012,"May",919
"564",2012,"May",928
